,Name of Movie,Star1,Star2,Star3,Votes,Genre1,Genre2,Genre3,Gross_Collection,Popularity,Certification
37,Guardians of the Galaxy Vol. 3,Chris Pratt,Chukwudi Iwuji,Bradley Cooper," 798,368 ",Action,Adventure,Comedy,United StatesNew ZealandFranceCanada,6,PG-13
38,Spider-Man: No Way Home,Tom Holland,Zendaya,Benedict Cumberbatch," 1,014,461 ",Action,Adventure,Fantasy,United States,84,PG-13
39,Jurassic Park,Sam Neill,Laura Dern,Jeff Goldblum," 771,692 ",Action,Adventure,Sci-Fi,"$404,214,720",140,PG-13
40,Indiana Jones and the Last Crusade,Harrison Ford,Sean Connery,Alison Doody," 621,647 ",Action,Adventure,-,Color,195,PG-13
41,1917,Dean-Charles Chapman,George MacKay,Daniel Mays," 1,141,295 ",Action,Drama,War,Color,420,R
42,Batman Begins,Christian Bale,Michael Caine,Ken Watanabe," 1,504,007 ",Action,Crime,Drama,Color,493,PG-13
43,Kill Bill: Vol. 1,Uma Thurman,David Carradine,Daryl Hannah," 901,674 ",Action,Crime,Drama,"$70,099,045",530,R
44,Die Hard,Bruce Willis,Alan Rickman,Bonnie Bedelia," 1,141,217 ",Action,Thriller,-,Color,617,R
45,V for Vendetta,Hugo Weaving,Natalie Portman,Rupert Graves," 64,484 ",Action,Drama,Sci-Fi,Color,"1,034",R
46,Demon Slayer the Movie: Mugen Train,Natsuki Hanae,Akari Kitô,Yoshitsugu Matsuoka," 129,241 ",Animation,Action,Adventure,Color,"2,048",TV-14
47,Ran,Tatsuya Nakadai,Akira Terao,Jinpachi Nezu," 99,395",Action,Drama,War,Color,"2,565",R
48,Gangs of Wasseypur,Manoj Bajpayee,Nawazuddin Siddiqui,Tigmanshu Dhulia," 47,713",Action,Comedy,Crime,Color,"4,385",Not Rated
